Expense Type,Sub-type,Purpose,Notes,Date of Sale,Location at Point of Sale,Country of Activity,City of Activity,Amount (USD),Code,
Travel,Airfare,Rockefeller Mtng in NYC,,4/3/14,Online,USA,New York,668,RNI,
Travel,Ground Transportation,Train from NYC to DC,,4/3/14,Online,USA,"Washington, D.C.",205,RNI,
Travel,Conference,State of the Map Conference,Networking for RNI,4/4/14,Online,USA,"Washington, D.C.",125,RNI,
Travel,Hotel,State of the Map Conference,Cheap rate via Hotwire,4/4/14,Online,USA,"Washington, D.C.",499.04,RNI,
Travel,Ground Transportation,Rockefeller Mtng and State of the Map conference,Gas to drive roundtrip to airport,4/6/14,"Athens, GA",USA,"Washington, D.C.",28.85,RNI,
Travel,Ground Transportation,Rockefeller Mtng in NYC,Airport Parking: was about 1/2 the cost of a round-trip shuttle.,4/9/14,Online,USA,New York,25.3,RNI,
Travel,Ground Transportation,Rockefeller Mtng in NYC,Bus to hotel,4/10/14,New York,USA,New York,16,RNI,
Travel,Incidentals,Rockefeller Mtng and State of the Map conference,Umbrella for getting around in pouring rain.,4/15/14,"Washington, D.C.",USA,"Washington, D.C.",12.47,RNI,
Travel,Ground Transportation,Rockefeller Mtng and State of the Map conference,Metro fare to meet w/ USAID's DHS program. ,4/15/14,"Washington, D.C.",USA,"Washington, D.C.",11,RNI,
Travel,Ground Transportation,Rockefeller Mtng and State of the Map conference,Taxi to airport,4/16/14,"Washington, D.C.",USA,"Washington, D.C.",79.69,RNI,
Travel,Airfare,"World Economic Forum conference attendance: ""Role of Big Data in Improving Security and Resilience to Catastrophic Events"" confernece. Also met with Dept. of Health and Human Services regarding uses of Ushahidi. Spent 1 afternoon workin with Rob on RNI website. ",United,5/16/14,Online,USA,"Washington, D.C.",660,RNI,
Travel,Ground Transportation,"World Economic Forum conference attendance: ""Role of Big Data in Improving Security and Resilience to Catastrophic Events"" confernece. Also met with Dept. of Health and Human Services regarding uses of Ushahidi. Spent 1 afternoon workin with Rob on RNI website. ",Airport Parking: was about 1/2 the cost of a round-trip shuttle.,5/20/14,Online,USA,"Washington, D.C.",25,RNI,
Travel,Ground Transportation,"World Economic Forum conference attendance: ""Role of Big Data in Improving Security and Resilience to Catastrophic Events"" confernece. Also met with Dept. of Health and Human Services regarding uses of Ushahidi. Spent 1 afternoon workin with Rob on RNI website. ",Taxi to from,5/20/14,"Washington, D.C.",USA,"Washington, D.C.",75,RNI,
